month_start,province_name,employment,yoy_change,yoy_change_pct
2022-01-01,Alberta,2424.9,,
2022-02-01,Alberta,2419.9,,
2022-03-01,Alberta,2422.6,,
2022-04-01,Alberta,2414.4,,
2022-05-01,Alberta,2406.2,,
2022-06-01,Alberta,2413.7,,
2022-07-01,Alberta,2438.8,,
2022-08-01,Alberta,2445.5,,
2022-09-01,Alberta,2451.4,,
2022-10-01,Alberta,2458.7,,
2022-11-01,Alberta,2461.3,,
2022-12-01,Alberta,2471.0,,
2023-01-01,Alberta,2486.2,61.3,2.53
2023-02-01,Alberta,2489.1,69.2,2.86
2023-03-01,Alberta,2495.9,73.3,3.03
2023-04-01,Alberta,2477.9,63.5,2.63
2023-05-01,Alberta,2478.3,72.1,3.00
2023-06-01,Alberta,2486.1,72.4,3.00
2023-07-01,Alberta,2505.1,66.3,2.72
2023-08-01,Alberta,2522.3,76.8,3.14
2023-09-01,Alberta,2521.0,69.6,2.84
2022-01-01,British Columbia,2772.6,,
2022-02-01,British Columbia,2772.2,,
2022-03-01,British Columbia,2769.8,,
